event_date,arrival,noaa_job,ensemble_member,arrival_height_m_agl,riau_hourly_endpoints,jambi_hourly_endpoints,south_sumatra_hourly_endpoints,intersects_selected_source,oldest_age_inside_hours,youngest_age_inside_hours
2019-09-22,2019-09-21 18:00 UTC (22 Sep 02:00 MYT),179130,1,1500,0,0,0,False,,
2019-09-22,2019-09-21 18:00 UTC (22 Sep 02:00 MYT),179130,2,1500,24,6,14,True,-64.0,-21.0
2019-09-22,2019-09-21 18:00 UTC (22 Sep 02:00 MYT),179130,3,1500,0,0,0,False,,
2019-09-22,2019-09-21 18:00 UTC (22 Sep 02:00 MYT),179130,4,1500,0,0,0,False,,
2019-09-22,2019-09-21 18:00 UTC (22 Sep 02:00 MYT),179130,5,1500,29,2,4,True,-71.0,-30.0
2019-09-22,2019-09-21 18:00 UTC (22 Sep 02:00 MYT),179130,6,1500,0,0,0,False,,
2019-09-22,2019-09-21 18:00 UTC (22 Sep 02:00 MYT),179130,7,1500,23,12,17,True,-72.0,-20.0
2019-09-22,2019-09-21 18:00 UTC (22 Sep 02:00 MYT),179130,8,1500,33,0,0,True,-49.0,-17.0
2019-09-22,2019-09-21 18:00 UTC (22 Sep 02:00 MYT),179130,9,1500,31,19,0,True,-72.0,-21.0
2019-09-22,2019-09-21 18:00 UTC (22 Sep 02:00 MYT),179130,10,1500,0,0,0,False,,
2019-09-22,2019-09-21 18:00 UTC (22 Sep 02:00 MYT),179130,11,1500,22,6,13,True,-64.0,-22.0
2019-09-22,2019-09-21 18:00 UTC (22 Sep 02:00 MYT),179130,12,1500,0,0,0,False,,
2019-09-22,2019-09-21 18:00 UTC (22 Sep 02:00 MYT),179130,13,1500,0,0,0,False,,
2019-09-22,2019-09-21 18:00 UTC (22 Sep 02:00 MYT),179130,14,1500,29,7,1,True,-72.0,-36.0
2019-09-22,2019-09-21 18:00 UTC (22 Sep 02:00 MYT),179130,15,1500,0,0,0,False,,
2019-09-22,2019-09-21 18:00 UTC (22 Sep 02:00 MYT),179130,16,1500,20,15,18,True,-72.0,-19.0
2019-09-22,2019-09-21 18:00 UTC (22 Sep 02:00 MYT),179130,17,1500,31,0,0,True,-46.0,-16.0
2019-09-22,2019-09-21 18:00 UTC (22 Sep 02:00 MYT),179130,18,1500,25,15,13,True,-72.0,-20.0
2019-09-22,2019-09-21 18:00 UTC (22 Sep 02:00 MYT),179130,19,1500,15,2,0,True,-48.0,-27.0
2019-09-22,2019-09-21 18:00 UTC (22 Sep 02:00 MYT),179130,20,1500,22,5,10,True,-58.0,-20.0
2019-09-22,2019-09-21 18:00 UTC (22 Sep 02:00 MYT),179130,21,1500,0,0,0,False,,
2019-09-22,2019-09-21 18:00 UTC (22 Sep 02:00 MYT),179130,22,1500,0,0,0,False,,
2019-09-22,2019-09-21 18:00 UTC (22 Sep 02:00 MYT),179130,23,1500,24,2,3,True,-64.0,-29.0
2019-09-22,2019-09-21 18:00 UTC (22 Sep 02:00 MYT),179130,24,1500,0,0,0,False,,
2019-09-22,2019-09-21 18:00 UTC (22 Sep 02:00 MYT),179130,25,1500,24,8,11,True,-65.0,-19.0
2019-09-22,2019-09-21 18:00 UTC (22 Sep 02:00 MYT),179130,26,1500,27,6,0,True,-50.0,-18.0
2019-09-22,2019-09-21 18:00 UTC (22 Sep 02:00 MYT),179130,27,1500,34,16,0,True,-72.0,-23.0
