date,detection_count,presumed_vegetation_fire_count,low_confidence_count,nominal_confidence_count,high_confidence_count,total_frp_mw,analysis_eligible_count,analysis_eligible_frp_mw,riau_eligible_count,riau_eligible_frp_mw,jambi_eligible_count,jambi_eligible_frp_mw,south_sumatra_eligible_count,south_sumatra_eligible_frp_mw,fire_centroid_lat,fire_centroid_lon,frp_weighted_centroid_lat,frp_weighted_centroid_lon,aod_055_mean,aod_055_median,aod_source_image_count,valid_pixel_count,penang_aerosol_index_mean,regional_aerosol_index_mean,s5p_ai_source_image_count,hourly_image_count,penang_u10_mps,penang_u850_mps,penang_v10_mps,penang_v850_mps,source_u10_mps,source_u850_mps,source_v10_mps,source_v850_mps,route_east_unit,route_north_unit,fire_centroid_to_penang_km,source_wind_speed10_mps,source_toward_penang10_mps,source_wind_speed850_mps,source_toward_penang850_mps,penang_wind_speed10_mps,penang_toward_penang10_mps,penang_wind_speed850_mps,penang_toward_penang850_mps,corridor_toward_penang10_mps,both_locations_toward_penang10,corridor_toward_penang850_mps,both_locations_toward_penang850,analysis_eligible_count_lag0,analysis_eligible_frp_mw_lag0,favorable_850_lag0,analysis_eligible_count_lag1,analysis_eligible_frp_mw_lag1,favorable_850_lag1,analysis_eligible_count_lag2,analysis_eligible_frp_mw_lag2,favorable_850_lag2,analysis_eligible_count_lag3,analysis_eligible_frp_mw_lag3,favorable_850_lag3
2019-08-01,581,573,24,549,8,5790.19,549,5106.88,404,3623.93,103,1160.57,42,322.38,-0.531038,102.607704,-0.542432,102.533568,,,71,0,-1.824059,-1.921405,14,24,-0.369724,3.059568,1.840911,3.130111,-0.908713,-1.771954,1.155165,3.405069,-0.357622,0.933867,708.668262,1.46975,1.403745,3.838531,3.81357,1.877672,1.851387,4.377048,1.828939,1.627566,True,2.821254,True,549,5106.88,True,,,,,,,,,
2019-08-02,654,646,3,628,23,4684.58,643,4412.56,508,3317.3,94,916.05,41,179.21,-0.236879,102.575861,-0.377051,102.918042,0.307958,0.309,71,24,-1.895982,-1.590562,14,24,-0.341299,2.706031,2.853406,2.557066,-1.281891,-2.824846,1.433311,3.493451,-0.369152,0.929369,676.863334,1.922921,1.805287,4.492656,4.289503,2.873745,2.777859,3.723062,1.377522,2.291573,True,2.833513,True,643,4412.56,True,549.0,5106.88,True,,,,,,
2019-08-03,383,370,2,367,14,1913.14,368,1855.0,233,1006.4,91,564.94,44,283.66,-0.604455,102.756254,-0.806566,102.933968,0.447594,0.413,68,32,-0.661099,-1.055329,15,24,0.297994,3.104737,2.004443,-0.858606,-1.355521,-2.395273,1.096182,2.330116,-0.373746,0.927531,722.320034,1.743288,1.523363,3.341672,3.056478,2.026473,1.74781,3.221272,-1.956766,1.635586,True,0.549856,False,368,1855.0,False,643.0,4412.56,True,549.0,5106.88,True,,,
2019-08-04,293,285,2,289,2,1143.83,283,1112.58,215,776.83,43,225.18,25,110.57,0.066429,102.293941,-0.249423,102.398743,,,70,0,-1.529304,-1.308685,14,24,0.394959,5.913982,2.500417,0.919547,-1.215504,0.316984,1.516515,3.313828,-0.344551,0.938767,634.120417,1.943519,1.842459,3.328954,3.001697,2.531419,2.211227,5.985044,-1.17443,2.026843,True,0.913633,False,283,1112.58,False,368.0,1855.0,False,643.0,4412.56,True,549.0,5106.88,True
2019-08-05,322,321,13,305,4,2293.87,308,2234.31,214,1547.12,46,306.4,48,380.79,-0.385121,102.403017,-0.289899,102.256705,,,70,0,-1.612962,-1.51665,14,24,-0.35292,3.32987,2.95969,2.113927,-0.989068,1.454823,1.605073,2.813179,-0.336467,0.941695,685.527676,1.885342,1.844278,3.167095,2.159658,2.980657,2.905872,3.944201,0.870284,2.375075,True,1.514971,True,308,2234.31,True,283.0,1112.58,False,368.0,1855.0,False,643.0,4412.56,True
2019-08-06,278,273,7,268,3,1486.75,266,1409.7,137,554.73,31,216.01,98,638.96,-0.960784,102.790084,-1.177926,102.94954,,,70,0,-1.931742,-1.912326,14,24,0.0853,2.339404,1.253458,-0.623624,-1.244895,1.303285,1.315957,1.709159,-0.359921,0.932983,760.615119,1.811493,1.675829,2.149367,1.125537,1.256357,1.138754,2.421098,-1.42383,1.407291,True,-0.149147,False,266,1409.7,False,308.0,2234.31,True,283.0,1112.58,False,368.0,1855.0,False
2019-08-07,214,211,1,209,4,1517.87,210,1509.75,141,906.33,35,378.43,34,224.99,-0.411622,102.565466,-0.73409,102.613791,,,71,0,-1.878469,-1.819761,14,24,0.114049,5.814591,-0.110805,-3.280051,-1.11449,0.603525,1.254003,1.002591,-0.358101,0.933683,694.570103,1.677681,1.569941,1.170227,0.719979,0.159012,-0.144298,6.675942,-5.144738,0.712822,False,-2.212379,False,210,1509.75,False,266.0,1409.7,False,308.0,2234.31,True,283.0,1112.58,False
2019-08-08,475,468,9,450,16,2222.56,459,2050.96,359,1778.87,83,254.25,17,17.84,-0.27774,102.488043,-0.144817,102.426207,0.277,0.277,72,1,-0.535573,-1.150438,14,24,0.645453,7.25219,0.991144,-3.204551,-1.023375,0.670512,1.429813,2.27993,-0.354358,0.93511,677.572297,1.758312,1.699673,2.376482,1.894383,1.182783,0.698107,7.928645,-5.566479,1.19889,True,-1.836048,False,459,2050.96,False,210.0,1509.75,False,266.0,1409.7,False,308.0,2234.31,True
2019-08-09,324,323,5,305,14,2004.51,318,1956.57,287,1894.58,18,36.08,13,25.91,-0.011179,102.304772,0.179317,102.093924,,,71,0,-0.572048,-0.822637,15,24,0.380803,7.475793,1.469799,0.22956,-0.87885,2.703193,1.478706,2.981049,-0.341863,0.93975,642.650733,1.720159,1.69006,4.024165,1.877319,1.518328,1.251061,7.479317,-2.339968,1.47056,True,-0.231325,False,318,1956.57,False,459.0,2050.96,False,210.0,1509.75,False,266.0,1409.7,False
2019-08-10,231,230,1,229,1,818.05,229,812.29,130,378.37,43,167.41,56,266.51,-1.098544,103.028633,-1.231628,103.067181,0.209667,0.219,68,3,-1.378503,-1.280191,14,24,-0.195856,9.734898,1.350745,0.482895,-1.147578,2.84395,1.056321,2.711293,-0.3827,0.923873,784.714501,1.559727,1.415084,3.92927,1.416511,1.36487,1.32287,9.746867,-3.27941,1.368977,True,-0.931449,False,229,812.29,False,318.0,1956.57,False,459.0,2050.96,False,210.0,1509.75,False
